wl;UV_control;Dor_paint;UV_paint;Dor_control
486,65;36,549;6,422;13,433;10,99
487;36,664;6,423;13,45;11,004
487,34;36,79;6,427;13,476;10,993
487,69;36,888;6,436;13,505;10,989
488,04;36,932;6,445;13,535;10,99
488,39;36,958;6,455;13,555;10,993
488,74;37,009;6,47;13,58;11,013
489,09;37,097;6,482;13,592;11,051
489,44;37,19;6,484;13,591;11,086
489,79;37,309;6,494;13,578;11,135
490,14;37,45;6,493;13,568;11,187
490,49;37,604;6,491;13,561;11,232
490,83;37,794;6,493;13,543;11,264
491,18;37,965;6,488;13,532;11,27
491,53;38,125;6,491;13,529;11,28
491,88;38,262;6,496;13,541;11,273
492,23;38,346;6,504;13,552;11,267
492,58;38,405;6,529;13,574;11,261
492,93;38,435;6,535;13,58;11,247
493,28;38,519;6,534;13,585;11,28
493,62;38,61;6,525;13,574;11,322
493,97;38,732;6,53;13,575;11,382
494,32;38,935;6,537;13,568;11,436
494,67;39,181;6,53;13,558;11,485
495,02;39,484;6,532;13,557;11,509
495,37;39,79;6,541;13,557;11,532
495,71;40,027;6,537;13,567;11,548
496,06;40,206;6,538;13,586;11,553
496,41;40,342;6,549;13,62;11,56
496,76;40,503;6,568;13,66;11,597
497,11;40,682;6,573;13,695;11,618
497,46;40,869;6,577;13,734;11,631
497,8;41,102;6,584;13,769;11,656
498,15;41,306;6,594;13,816;11,698
498,5;41,545;6,623;13,868;11,755
498,85;41,772;6,641;13,914;11,795
499,2;42,004;6,647;13,955;11,84
499,54;42,258;6,656;13,988;11,887
499,89;42,494;6,649;14,004;11,937
500,24;42,75;6,651;14,045;11,982
500,59;42,958;6,658;14,063;12,008
500,93;43,171;6,676;14,088;12,05
501,28;43,377;6,705;14,103;12,085
501,63;43,567;6,726;14,121;12,119
501,98;43,768;6,742;14,148;12,162
502,33;43,94;6,752;14,178;12,191
502,67;44,086;6,765;14,22;12,215
503,02;44,244;6,787;14,254;12,239
503,37;44,367;6,8;14,283;12,26
503,72;44,467;6,812;14,31;12,271
504,06;44,575;6,832;14,342;12,275
